50 50
4 1 1
3 1 6
3 1 7
4 1 9
3 1 10
3 1 11
3 1 12
3 1 13
3 1 17
3 1 19
4 1 22
4 1 23
4 1 25
3 1 26
4 1 27
3 1 34
3 1 35
3 1 36
3 1 42
4 1 43
4 1 45
3 2 1
3 2 5
4 2 6
4 2 12
4 2 15
3 2 16
4 2 19
4 2 23
4 2 24
3 2 25
3 2 28
4 2 31
4 2 36
4 2 38
3 2 39
4 2 42
4 2 45
4 3 2
3 3 3
3 3 5
3 3 8
3 3 10
4 3 12
4 3 19
3 3 28
3 3 32
3 3 35
4 3 36
3 3 42
3 3 43
3 3 44
3 3 46
4 4 8
4 4 10
4 4 12
4 4 16
3 4 29
3 4 33
3 4 35
3 4 44
3 4 46
3 5 1
3 5 2
4 5 3
4 5 6
3 5 7
4 5 8
4 5 12
3 5 21
3 5 22
3 5 23
3 5 26
3 5 28
3 5 29
3 5 32
4 5 35
3 5 37
3 5 40
3 5 47
3 5 48
4 6 1
4 6 10
4 6 12
3 6 14
4 6 16
3 6 18
4 6 21
3 6 25
3 6 26
3 6 40
3 6 42
4 6 43
3 6 44
4 7 2
4 7 6
4 7 7
4 7 8
4 7 16
4 7 18
4 7 21
4 7 26
4 7 27
4 7 30
4 7 32
3 7 33
4 7 34
4 7 36
3 7 38
4 7 40
4 7 44
4 7 45
3 8 2
3 8 3
4 8 4
4 8 5
4 8 13
4 8 16
4 8 17
3 8 23
3 8 24
3 8 25
4 8 27
3 8 28
4 8 29
4 8 32
4 8 40
4 8 41
3 8 42
4 8 45
4 8 46
4 9 9
3 9 10
4 9 13
4 9 20
3 9 29
4 9 32
4 9 33
4 9 36
3 9 37
3 9 42
4 9 47
3 10 1
3 10 7
4 10 9
4 10 11
3 10 12
4 10 13
3 10 16
3 10 20
3 10 22
4 10 24
4 10 25
3 10 26
4 10 27
3 10 29
4 10 31
3 10 33
3 10 34
3 10 35
4 10 36
4 10 38
4 10 40
3 10 41
4 10 42
4 10 44
3 10 45
4 10 47
4 11 1
3 11 4
4 11 6
3 11 7
3 11 13
3 11 17
4 11 27
3 11 29
3 11 31
4 11 45
4 11 47
4 12 1
3 12 5
3 12 7
3 12 9
4 12 13
3 12 17
4 12 20
4 12 22
4 12 24
3 12 29
4 12 31
3 12 32
4 12 33
4 12 34
3 12 35
3 12 36
3 12 37
3 12 38
3 12 40
4 12 41
4 12 43
4 13 5
4 13 7
3 13 9
3 13 16
4 13 20
4 13 23
4 13 27
4 13 30
4 13 34
4 13 39
3 13 40
4 13 43
3 13 44
4 13 45
4 13 46
4 13 48
3 14 2
4 14 3
3 14 4
3 14 8
3 14 9
3 14 12
4 14 13
4 14 16
3 14 17
4 14 19
3 14 20
3 14 21
4 14 23
3 14 24
3 14 33
4 14 34
3 14 35
3 14 36
3 14 41
3 14 45
4 14 48
4 15 1
4 15 7
3 15 17
3 15 25
3 15 27
3 15 35
4 15 41
3 15 44
3 15 48
3 16 1
3 16 3
4 16 11
3 16 12
4 16 13
3 16 16
3 16 17
4 16 19
3 16 20
4 16 21
3 16 25
3 16 30
3 16 37
3 16 48
4 17 3
3 17 4
4 17 7
3 17 13
3 17 14
3 17 16
4 17 23
3 17 28
3 17 33
4 17 34
3 17 35
4 17 37
4 17 39
4 17 41
3 17 47
4 17 48
4 18 4
4 18 5
3 18 7
3 18 10
4 18 11
4 18 14
3 18 15
4 18 16
4 18 21
3 18 26
4 18 28
3 18 31
4 18 33
3 18 35
3 18 37
3 18 39
4 18 42
3 18 46
3 18 47
3 19 1
3 19 8
3 19 9
3 19 12
4 19 23
3 19 26
4 19 27
3 19 31
4 19 37
3 19 38
3 19 39
4 19 46
4 20 1
4 20 5
4 20 10
3 20 14
4 20 16
4 20 17
3 20 24
3 20 25
4 20 29
4 20 33
4 20 35
3 20 39
3 20 40
4 21 1
3 21 5
4 21 7
4 21 8
3 21 10
3 21 12
4 21 13
4 21 16
4 21 19
4 21 21
4 21 23
4 21 29
3 21 32
4 21 33
3 21 35
3 21 36
3 21 38
3 21 41
3 21 43
3 21 44
3 21 47
3 22 1
4 22 3
3 22 4
4 22 10
4 22 11
3 22 16
4 22 18
3 22 21
4 22 23
3 22 28
3 22 29
4 22 31
3 22 38
3 22 44
3 22 45
4 22 47
3 23 4
3 23 7
4 23 8
3 23 11
4 23 16
4 23 18
4 23 24
3 23 31
4 23 33
3 23 34
4 23 36
4 23 38
3 23 39
4 23 40
4 23 41
3 23 47
3 24 1
4 24 8
3 24 11
4 24 13
4 24 15
3 24 16
4 24 18
3 24 20
3 24 23
4 24 28
4 24 29
4 24 33
3 24 42
3 24 43
4 24 47
3 25 3
4 25 4
3 25 7
4 25 8
4 25 10
3 25 16
4 25 18
3 25 20
4 25 26
3 25 27
4 25 31
3 25 32
4 25 38
3 25 41
3 25 42
4 25 44
4 25 47
3 26 6
4 26 7
4 26 10
3 26 15
3 26 18
3 26 22
3 26 23
4 26 27
3 26 30
4 26 33
3 26 34
4 26 37
4 26 38
4 26 39
3 26 41
3 26 47
3 27 1
4 27 6
4 27 9
4 27 18
4 27 19
4 27 20
3 27 22
4 27 26
3 27 27
3 27 28
4 27 29
4 27 41
4 27 44
3 27 47
3 27 48
3 28 3
3 28 9
4 28 13
4 28 14
3 28 15
3 28 16
4 28 31
4 28 36
3 28 37
3 28 38
3 28 40
3 28 41
4 28 48
3 29 3
4 29 5
4 29 8
3 29 11
4 29 12
3 29 17
4 29 19
3 29 21
3 29 22
3 29 24
3 29 25
4 29 27
4 29 28
4 29 31
4 29 34
3 29 35
4 29 36
4 29 40
4 29 44
3 30 2
4 30 13
4 30 14
3 30 15
3 30 17
3 30 19
4 30 22
4 30 28
3 30 29
3 30 31
3 30 32
3 30 33
3 30 42
3 30 44
3 30 47
3 30 48
4 31 1
3 31 10
4 31 11
3 31 16
3 31 17
3 31 19
4 31 22
4 31 23
4 31 25
3 31 26
4 31 29
3 31 33
4 31 37
3 31 38
3 31 39
4 31 40
4 31 42
3 31 43
4 32 1
3 32 4
3 32 5
4 32 6
4 32 8
3 32 9
3 32 12
3 32 15
3 32 17
4 32 23
4 32 26
4 32 30
3 32 34
4 32 37
4 32 43
4 32 44
3 32 46
3 32 47
3 32 48
4 33 6
4 33 11
4 33 20
4 33 22
4 33 24
4 33 25
3 33 26
4 33 30
3 33 31
4 33 33
3 33 34
4 33 36
3 33 39
3 33 40
3 33 41
4 33 48
4 34 1
3 34 2
4 34 9
3 34 10
4 34 11
4 34 12
3 34 13
4 34 14
4 34 16
3 34 26
4 34 33
4 34 36
4 34 39
3 34 42
4 34 43
4 34 44
4 34 45
4 35 2
3 35 6
4 35 7
3 35 17
4 35 18
3 35 19
4 35 20
3 35 21
3 35 23
3 35 24
4 35 26
4 35 29
3 35 30
4 35 36
4 35 39
4 35 41
3 35 45
3 35 47
3 36 3
3 36 4
3 36 7
4 36 8
4 36 10
4 36 17
3 36 27
3 36 29
3 36 34
4 36 35
3 36 37
4 36 43
3 36 47
3 37 5
3 37 8
4 37 12
3 37 19
4 37 21
4 37 24
3 37 29
4 37 35
4 37 38
4 37 41
4 37 44
4 37 47
3 38 2
4 38 3
4 38 4
3 38 8
4 38 10
3 38 12
4 38 13
4 38 15
4 38 18
3 38 22
3 38 25
4 38 26
4 38 27
3 38 29
4 38 31
4 38 34
3 38 39
4 38 42
4 38 43
3 38 48
4 39 1
4 39 4
3 39 7
4 39 15
3 39 31
4 39 36
4 39 37
4 39 38
4 39 39
3 39 40
4 40 1
4 40 5
3 40 9
4 40 11
3 40 17
3 40 23
3 40 24
3 40 25
3 40 28
3 40 30
4 40 31
4 40 33
4 40 42
4 40 45
4 40 48
3 41 1
4 41 2
4 41 5
4 41 6
3 41 8
4 41 9
3 41 14
3 41 16
3 41 17
4 41 20
3 41 21
3 41 25
3 41 27
3 41 28
4 41 32
4 41 33
3 41 36
3 41 39
3 41 41
4 41 45
3 42 2
3 42 6
3 42 7
3 42 8
4 42 12
3 42 13
3 42 14
3 42 19
4 42 22
4 42 31
3 42 32
4 42 37
3 42 39
3 42 44
3 42 45
3 43 1
4 43 4
4 43 5
4 43 10
4 43 16
3 43 27
3 43 28
3 43 32
3 43 34
4 43 36
4 43 41
3 43 43
4 43 46
3 43 47
3 44 1
4 44 5
3 44 9
3 44 14
3 44 21
4 44 24
3 44 28
3 44 29
4 44 30
3 44 36
4 44 41
4 44 43
3 44 46
3 45 3
4 45 4
4 45 5
3 45 6
3 45 9
4 45 12
4 45 17
4 45 21
3 45 36
4 45 41
3 45 43
4 45 46
4 45 48
3 46 1
4 46 3
3 46 6
4 46 8
4 46 11
3 46 17
3 46 19
3 46 21
4 46 24
3 46 25
3 46 30
3 46 31
3 46 32
4 46 35
3 46 36
4 46 39
4 46 40
4 46 42
4 46 43
4 46 46
3 47 2
3 47 5
4 47 6
3 47 7
4 47 13
4 47 15
4 47 16
4 47 21
3 47 26
4 47 28
3 47 29
4 47 32
3 47 45
4 47 46
3 47 47
4 48 5
4 48 9
3 48 10
4 48 11
4 48 12
4 48 13
4 48 19
4 48 20
4 48 21
3 48 22
4 48 23
4 48 24
4 48 27
4 48 28
3 48 35
4 48 36
3 48 37
4 48 38
4 48 40
3 48 43
4 48 44
3 48 45
4 48 47
3 48 48
0 18 41 10 0
1 8 12 5
1 26 26 5
1 18 27 5
2 33 3
2 29 41
2 43 22
2 33 13
2 40 32
2 8 18
2 33 28
2 2 33
2 48 30
2 35 9
2 27 11
2 1 44
2 11 33
2 9 24
2 19 35
2 7 29
2 6 27
2 23 9
2 32 14
2 12 8
2 23 35
2 18 1
2 24 17
2 46 28
2 21 27
2 34 17
2 22 33
2 42 42
2 34 8
2 16 7
2 6 8
2 22 24
2 16 28
2 7 9
2 20 21
2 37 34
2 47 38
2 29 1
2 42 10
2 20 13
2 15 6
2 21 15
